央视频道,#genre#
CCTV-1综合,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV-1综合,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV-2财经,http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2财经,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-3综艺,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV-3综艺,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV-3综艺,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV-3综艺,http://223.110.245.166/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV-4国际,http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV-4国际,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV-5体育,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227298/index.m3u8
CCTV-5体育,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227166/index.m3u8
CCTV-5体育,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221226362/index.m3u8
CCTV5+,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8
CCTV5+,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225604/index.m3u8
CCTV-6电影,http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8
CCTV-6电影,http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8
CCTV-7军事,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8
CCTV-7军事,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8
CCTV-8电视剧,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8
CCTV-8电视剧,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227205/index.m3u8
CCTV-8电视剧,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221225866/index.m3u8
CCTV-9记录,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8 
CCTV-9记录,http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227659/index.m3u8
CCTV-10科教,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8
